"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 22 11:09:26 IST 2023","Thu Jun 22 11:09:32 IST 2023","6022","","test_Carwale","Test_Carwale","","","test_carNamesandPrices[chrome-Honda-Honda Cars]",""
"failed","Thu Jun 22 11:08:38 IST 2023","Thu Jun 22 11:08:40 IST 2023","2447","","test_Carwale","Test_Carwale","","","test_carNamesandPrices[chrome-BMW-BMWs Cars]",""
"skipped","Thu Jun 22 11:08:24 IST 2023","Thu Jun 22 11:08:24 IST 2023","0","","test_Carwale","Test_Carwale","","","test_selectCars[chrome-Toyota-Toyota Cars]",""
"skipped","Thu Jun 22 11:08:24 IST 2023","Thu Jun 22 11:08:24 IST 2023","0","","test_Carwale","Test_Carwale","","","test_selectCars[firefox-Hyundai-Hyundai Cars]",""
"passed","Thu Jun 22 11:11:20 IST 2023","Thu Jun 22 11:11:25 IST 2023","5062","","test_Carwale","Test_Carwale","","","test_carNamesandPrices[firefox-Honda-Honda Cars]",""
"skipped","Thu Jun 22 11:08:24 IST 2023","Thu Jun 22 11:08:24 IST 2023","0","","test_Carwale","Test_Carwale","","","test_selectCars[chrome-Hyundai-Hyundai Cars]",""
"failed","Thu Jun 22 11:09:54 IST 2023","Thu Jun 22 11:09:56 IST 2023","1997","","test_Carwale","Test_Carwale","","","test_carNamesandPrices[firefox-BMW-BMWs Cars]",""
"skipped","Thu Jun 22 11:08:24 IST 2023","Thu Jun 22 11:08:24 IST 2023","0","","test_Carwale","Test_Carwale","","","test_gotoNewCar[chrome]",""
"skipped","Thu Jun 22 11:08:24 IST 2023","Thu Jun 22 11:08:24 IST 2023","0","","test_Carwale","Test_Carwale","","","test_selectCars[chrome-BMW-BMWs Cars]",""
"skipped","Thu Jun 22 11:08:24 IST 2023","Thu Jun 22 11:08:24 IST 2023","0","","test_Carwale","Test_Carwale","","","test_gotoNewCar[firefox]",""
"passed","Thu Jun 22 11:09:08 IST 2023","Thu Jun 22 11:09:14 IST 2023","6025","","test_Carwale","Test_Carwale","","","test_carNamesandPrices[chrome-Toyota-Toyota Cars]",""
"passed","Thu Jun 22 11:10:26 IST 2023","Thu Jun 22 11:10:31 IST 2023","5141","","test_Carwale","Test_Carwale","","","test_carNamesandPrices[firefox-Hyundai-Hyundai Cars]",""
"passed","Thu Jun 22 11:10:52 IST 2023","Thu Jun 22 11:10:58 IST 2023","5766","","test_Carwale","Test_Carwale","","","test_carNamesandPrices[firefox-Toyota-Toyota Cars]",""
"passed","Thu Jun 22 11:08:50 IST 2023","Thu Jun 22 11:08:56 IST 2023","5466","","test_Carwale","Test_Carwale","","","test_carNamesandPrices[chrome-Hyundai-Hyundai Cars]",""
"skipped","Thu Jun 22 11:08:24 IST 2023","Thu Jun 22 11:08:24 IST 2023","0","","test_Carwale","Test_Carwale","","","test_selectCars[firefox-BMW-BMWs Cars]",""
"skipped","Thu Jun 22 11:08:24 IST 2023","Thu Jun 22 11:08:24 IST 2023","0","","test_Carwale","Test_Carwale","","","test_selectCars[firefox-Toyota-Toyota Cars]",""
"skipped","Thu Jun 22 11:08:24 IST 2023","Thu Jun 22 11:08:24 IST 2023","0","","test_Carwale","Test_Carwale","","","test_selectCars[chrome-Honda-Honda Cars]",""
"skipped","Thu Jun 22 11:08:24 IST 2023","Thu Jun 22 11:08:24 IST 2023","0","","test_Carwale","Test_Carwale","","","test_selectCars[firefox-Honda-Honda Cars]",""
